ID,Station_Name,OS X,OS Y,Latitude,Longitude,Zone,Postcode,Zone_original
1,Abbey Road,539081,183352,51.53195199547290,0.003723371,3,E15 3NB,3
2,Abbey Wood,547297,179002,51.49078429543710,0.12027197064065100,4,SE2 9RH,4
3,Acton Central,520613,180299,51.508757351253400,-0.263430195,2,W3 6BH,2
4,Acton Main Line,520296,181196,51.516886495162900,-0.267689948,3,W3 9EH,3
5,Acton Town,519457,179639,51.50307098636340,-0.280302697,3,W3 8HN,3
6,Addington Village,537082,163744,51.35623853949500,-0.0326651,3,CR0 5AR,"3,4,5,6"
7,Addiscombe,534190,166290,51.37980817216770,-0.073213283,3,CR0 7AA,"3,4,5,6"
8,Albany Park,547903,172902,51.435815816166300,0.1264446387204620,5,DA5 3HP,5
9,Aldgate,533629,181246,51.51434226,-0.075626912,1,EC3N 1AH,1
10,Aldgate East,533809,181333,51.515081505698700,-0.073001462,1,E1 7PT,1
11,Alexandra Palace,530300,190498,51.59826262860600,-0.120148971,3,N22 7ST,3
12,All Saints,538012,180933,51.51047690641240,-0.012624885,2,E14 0EH,2
13,Alperton,518025,183849,51.54120878643840,-0.299515753,4,HA0 4LL,4
14,Amersham,496454,198181,51.674128328342700,-0.606513768,9,HP6 5AZ,9
15,Ampere Way,530674,166476,51.38229921988810,-0.123636798,3,CR0 3JX,"3,4,5,6"
16,Anerley,534656,169942,51.41251661375110,-0.0651371,4,SE20 8PY,4
17,Angel,531497,183263,51.53296784539840,-0.105581448,1,N1 8XB,1
18,Angel Road,535204,192202,51.612420242475800,-0.048732919,4,N18 3AY,4
19,Archway,529356,186827,51.56549031545970,-0.135121576,2,N19 5RQ,"2,3"
20,Arena,535192,167620,51.391522658988500,-0.05831855,3,SE25 4RY,"3,4,5,6"
21,Arnos Grove,529271,192471,51.616229924551400,-0.134270218,4,N11 1AN,4
22,Arsenal,531429,186107,51.55854120559970,-0.105499933,2,N5 1LP,2
23,Avenue Road,535764,169335,51.406797904315400,-0.049446937,3,BR3 4NJ,"3,4,5,6"
24,Baker Street,527965,182078,51.52312936605880,-0.156904193,1,NW1 5LA,1
25,Balham,528482,173195,51.443182314397000,-0.152685162,3,SW12 9SG,3
26,Bank,532704,181111,51.51334691914180,-0.089000123,1,EC3V 3LA,1
27,Banstead,524590,160426,51.32929277590570,-0.213132334,6,SM7 1RB,6
28,Barbican,532079,181859,51.520215126107800,-0.097721578,1,EC1A 4JA,1
29,Barking,544405,184343,51.53952124839740,0.08083161,4,IG11 8TU,4
30,Barkingside,544788,189510,51.58585076146280,0.08847664,4,IG6 1NB,4
31,Barnehurst,550206,176193,51.464780553326300,0.16094802394688500,6,DA7 6HQ,6
32,Barnes,522209,175705,51.46712737869090,-0.242033059,3,SW13 0LW,3
33,Barnes Bridge,521478,176255,51.47222764,-0.252362613,3,SW13 0NR,3
34,Barons Court,524133,178322,51.49022833,-0.213430142,2,W14 9DP,2
35,Battersea Park,528703,176999,51.47731808303140,-0.14812376,2,SW8 4NB,2
